Date,Open,High,Low,Close,Adj Close,Volume,Rtx
2017-09-06,40.677502,40.747501,40.130001,40.477501,38.63105,86606800,-0.10490639142880509
2017-09-07,40.522499,40.560001,40.09,40.314999,38.475971,87714000,-0.4014361504541042
2017-09-08,40.215,40.287498,39.6325,39.657501,37.848465,114446000,-1.63090360994399
2017-09-11,40.125,40.512501,39.9725,40.375,38.533234,126323200,1.809238498840049
2017-09-12,40.6525,40.990002,39.692501,40.215,38.380535,286856000,-0.39627870320980696
2017-09-13,39.967499,39.990002,39.477501,39.912498,38.091831,179629600,-0.7522146317137102
2017-09-14,39.747501,39.849998,39.522499,39.57,37.764954,95042800,-0.8581288728283898
2017-09-15,39.6175,40.2425,39.5,39.970001,38.146713,196458400,1.0108816761699169
2017-09-18,40.0275,40.125,39.5,39.6675,37.858009,113077600,-0.7568253652680212
2017-09-19,39.877499,39.942501,39.610001,39.682499,37.872318,83242400,0.03779649373529814
2017-09-20,39.474998,39.564999,38.4575,39.017502,37.237656,211805600,-1.6757939136442523
2017-09-21,38.950001,38.950001,38.1875,38.3475,36.598213,150046800,-1.7171945516656573
2017-09-22,37.884998,38.067501,37.639999,37.9725,36.240326,186581600,-0.9778810785105785
2017-09-25,37.497501,37.9575,37.290001,37.637501,35.920605,177549200,-0.8822244038312443
2017-09-26,37.945,38.48,37.922501,38.285,36.538574,146640000,1.7203746985887225
2017-09-27,38.450001,38.68,38.384998,38.557499,36.798649,102016800,0.7117820197361846
2017-09-28,38.4725,38.57,38.174999,38.32,36.57198,88022000,-0.6159709830651505
2017-09-29,38.302502,38.532501,38.0,38.529999,36.772392,105199200,0.5479932997885184
2017-10-02,38.564999,38.612499,38.18,38.452499,36.698429,74795200,-0.20113730975130917
2017-10-03,38.502499,38.772499,38.477501,38.619999,36.858295,64921200,0.4356208272566775
2017-10-04,38.407501,38.465,38.115002,38.369999,36.619701,80655200,-0.6473278267483562
2017-10-05,38.544998,38.860001,38.512501,38.8475,37.07542,85135200,1.2444640113254968
2017-10-06,38.7425,38.872501,38.639999,38.825001,37.053932,69630400,-0.05795753628683453
2017-10-09,38.952499,39.182499,38.872501,38.959999,37.182777,65051600,0.34772288133955165
2017-10-10,39.014999,39.5,38.775002,38.974998,37.197086,62468000,0.03848287071188672
2017-10-11,38.9925,39.244999,38.9375,39.137501,37.352184,67622400,0.41696276961051826
2017-10-12,39.087502,39.342499,38.932499,39.0,37.220959,64500400,-0.3513181451451408
2017-10-13,39.182499,39.32,39.102501,39.247501,37.457169,65576800,0.6346155669981535
2017-10-16,39.474998,40.0,39.412498,39.970001,38.146713,96486000,1.8408865870242375
2017-10-17,39.945,40.217499,39.807499,40.1175,38.287483,75989200,0.36902262063838176
2017-10-18,40.105,40.177502,39.900002,39.939999,38.11808,65496800,-0.44245008218483095
2017-10-19,39.1875,39.27,38.755001,38.994999,37.216187,170336800,-2.3660504411554872
2017-10-20,39.1525,39.4375,38.990002,39.0625,37.280605,95896400,0.17309134866503317
2017-10-23,39.2225,39.422501,38.875,39.0425,37.261513,87937200,-0.05121161526214779
2017-10-24,39.072498,39.355,39.049999,39.275002,37.48341,71028800,0.5955125869419264
2017-10-25,39.227501,39.387501,38.817501,39.102501,37.318779,84828400,-0.4392103066396591
2017-10-26,39.307499,39.4575,39.195,39.352501,37.557373,68002000,0.6393403171095047
2017-10-27,39.822498,40.900002,39.674999,40.762501,38.903057,177816800,3.5830088542135208
2017-10-30,40.9725,42.017502,40.93,41.68,39.778709,178803200,2.2508565329454777
2017-10-31,41.974998,42.412498,41.735001,42.259998,40.332249,144187200,1.391548428582734
2017-11-01,42.467499,42.485001,41.4025,41.7225,39.81926,134551200,-1.2719077480653151
2017-11-02,41.650002,42.125,41.32,42.0275,40.110352,165573600,0.7310331733939801
2017-11-03,43.5,43.564999,42.779999,43.125,41.157791,237594400,2.6113931884716557
2017-11-06,43.092499,43.747501,42.93,43.5625,41.575329,140105200,1.0144810735833731
